(TOTAL),1453
united states,162
(US) - alabama,1
(US) - arizona,2
(US) - california,22
(US) - colorado,3
(US) - connecticut,2
(US) - florida,14
(US) - georgia,4
(US) - idaho,3
(US) - illinois,3
(US) - kansas,5
(US) - kentucky,3
(US) - maine,2
(US) - maryland,7
(US) - massachusetts,20
(US) - michigan,2
(US) - missouri,1
(US) - montana,3
(US) - nebraska,1
(US) - new jersey,4
(US) - new york,17
(US) - north carolina,4
(US) - ohio,3
(US) - pennsylvania,3
(US) - rhode island,2
(US) - south carolina,1
(US) - tennessee,2
(US) - texas,9
(US) - utah,1
(US) - vermont,1
(US) - virginia,6
(US) - washington,4
(US) - wisconsin,4
afghanistan,1
albania,1
algeria,2
antigua,1
argentina,1
armenia,1
australia,13
austria,3
bahrain,1
bangladesh,3
belgique,2
belgium,1
brazil,7
canada,8
chile,3
china,5
colombia,5
costa rica,1
croatia,1
cyprus,1
czech republic,4
denmark,1
ecuador,2
egypt,5
el salvador,1
estonia,1
ethiopia,2
france,4
germany,7
ghana,6
greece,5
guatemala,3
haiti,2
honduras,1
hungary,2
india,44
indonesia,7
iran,2
ireland,2
italy,10
jamaica,2
japan,5
kenya,4
korea (south),1
kyrgyzstan,1
latvia,2
lebanon,2
lithuania,1
macau,1
macedonia,1
malaysia,2
mauritius,2
mexico,3
moldova,2
morocco,1
myanmar,2
nepal,1
netherlands,7
new zealand,1
nigeria,11
norway,4
pakistan,11
peru,3
philippines,15
poland,8
portugal,6
qatar,2
romania,2
russia,3
russian federation,4
rwanda,1
saudi arabia,2
scotland,2
singapore,4
slovakia,1
south africa,3
spain,7
sri lanka,2
st. lucia,1
sudan,1
sweden,1
switzerland,1
syria,1
taichung,3
taiwan,4
tanzania,2
thailand,2
turkey,3
ukraine,4
united arab emirates,3
united kingdom,23
venezuela,1
vietnam,2
zimbabwe,2
~origin unknown,722
